office_code,city,country,phone_number
Rv-218,West Sharon,Kenya,+44(0)28 9018504
DM-581,Cartershire,Northern Mariana Islands,+44(0)131 4960758
yr-984,South Shane,Qatar,(0115)4960786
Qu-314,Singhville,Comoros,0117 4960265
ax-106,Traceyshire,Antarctica (the territory South of 60 deg S),(0909) 8790681
Bt-113,Taylorstad,Heard Island and McDonald Islands,+4420 74960506
Vl-537,Jadehaven,San Marino,01414960810
mE-161,Jordanberg,Tuvalu,+44117 4960353
RI-036,Suzannestad,Cambodia,+441164960260
tp-417,East Bernard,Pakistan,+44(0)116 4960947
mZ-519,Lake Callum,Ethiopia,01314960892
ff-182,Staceyport,Northern Mariana Islands,+44(0)151 496 0817
lG-857,Lake Luke,Tokelau,+44161 496 0217
zY-656,Lake Jill,Norfolk Island,0118 4960937
fL-441,Callumview,Nauru,+44808 157 0109
TI-264,North Francesca,Australia,+441514960010
Qc-250,Lyndaburgh,Portugal,(020)74960883
tU-701,West Graceview,Hungary,(029) 2018 0344
JF-123,Port Sharon,Argentina,(0114) 496 0923
Fi-311,South Dorothystad,Korea,02074960687
